"","site_id","trap_number","calendar_week","hatched_eggs","embryonating_eggs","total_eggs","albopictus_female","albopictus_male","triseriatus_female","triseriatus_male","japonicus_female","japonicus_male","total_albo","total_tris","total_jap","rainfall_station","percent_forest_250m","percent_open_250m","percent_built_250m","percent_water_250m","percent_crop_250m","percent_forest_1000m","percent_open_1000m","percent_built_1000m","percent_water_1000m","percent_crop_1000m","mean_avg_temp","lagged_avgtemp_1week","lagged_avgtemp_2week","lagged_avgtemp_3week","total_rainfall","lagged_rainfall_1week","lagged_rainfall_2week","lagged_rainfall_3week","calendar_month","domland_250m","domland_1000m","percent_hatch","total_aedes","common_name","geometry"
"1","AB",1,22,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,"walden_drive",2.32558139534884,20.9302325581395,76.7441860465116,0,0,24.1176470588235,38.3333333333333,37.2549019607843,0,0.294117647058824,22.2222222222222,23.6507936507936,21.4285714285714,18.7301587301587,26.162,27.686,34.544,79.248,"June","built","open",NA,NA,"Ancient Burial Site (Rocky Hill Cemetery)",c(1068931.06574052, 1495624.68655496)
"2","BC",1,22,"257","21",278,1,0,78,70,0,0,1,148,0,"walden_drive",0,59,41,0,0,0.0876424189307625,15.2497808939527,84.0490797546012,0,0.613496932515337,22.2222222222222,23.6507936507936,21.4285714285714,18.7301587301587,26.162,27.686,34.544,79.248,"June","open","built",53.5971223021583,149,"Bearden Cemetery",c(1064772.65264417, 1496741.90364521)
"3","CC",1,22,"111","0",111,0,0,35,15,0,0,0,50,0,"williams_creek",21.9512195121951,19.5121951219512,58.5365853658537,0,0,1.1070110701107,18.7269372693727,80.1660516605166,0,0,22.2222222222222,23.6507936507936,21.4285714285714,18.7301587301587,26.416,36.83,37.084,67.31,"June","built","built",45.045045045045,50,"Calvary Catholic Cemetery",c(1078328.76433868, 1504616.15010412)
"4","CP",1,22,"326","9",335,18,24,69,57,0,0,42,126,0,"tyson_park",81.4814814814815,0,0,0,18.5185185185185,80.9160305343512,10.4325699745547,4.83460559796438,0,3.81679389312977,22.2222222222222,23.6507936507936,21.4285714285714,18.7301587301587,26.67,39.116,42.672,80.01,"June","forest","forest",50.1492537313433,168,"Charter E. Doyle Park",c(1079006.841992, 1498602.50493119)
"5","DH",1,22,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,"walden_drive",0,8.69565217391304,89.1304347826087,0,0,1.60880609652837,17.9508890770533,80.3556308213379,0,0,22.2222222222222,23.6507936507936,21.4285714285714,18.7301587301587,26.162,27.686,34.544,79.248,"June","built","built",NA,NA,"Deane Hill Recreation Center",c(1067730.20152008, 1496935.67964537)
"6","FR",1,22,"1033","27",1060,0,0,142,164,0,0,0,306,0,"williams_creek",82,0,0,16,2,64.6093237032173,3.93959290873276,11.096520026264,12.6066973079448,7.7478660538411,22.2222222222222,23.6507936507936,21.4285714285714,18.7301587301587,26.416,36.83,37.084,67.31,"June","forest","forest",28.8679245283019,306,"Forks of the River Wildlife Management Area Parking",c(1084310.58494777, 1501315.62068991)
"7","HG",1,22,"2","633",635,11,9,95,83,0,0,20,178,0,"tyson_park",97.3451327433628,1.76991150442478,0.884955752212389,0,0,58.220640569395,10.8896797153025,17.153024911032,13.5231316725979,0.213523131672598,22.2222222222222,23.6507936507936,21.4285714285714,18.7301587301587,26.67,39.116,42.672,80.01,"June","forest","forest",31.1811023622047,198,"High Grounds Park",c(1076665.8633012, 1500264.33133114)
"8","HM",1,22,"326","7",333,9,8,51,47,0,0,17,98,0,"walden_drive",0,48.4375,51.5625,0,0,3.34476843910806,45.368782161235,51.2864493996569,0,0,22.2222222222222,23.6507936507936,21.4285714285714,18.7301587301587,26.162,27.686,34.544,79.248,"June","built","built",34.5345345345345,115,"Highland Memorial Cemetery",c(1070917.62179658, 1499937.08609212)
"9","HR",1,22,"583","75",658,17,13,75,77,0,0,30,152,0,"williams_creek",53.0612244897959,3.06122448979592,0,1.02040816326531,42.8571428571429,35.0983358547655,14.2208774583964,6.58093797276853,9.4553706505295,34.3419062027231,22.2222222222222,23.6507936507936,21.4285714285714,18.7301587301587,26.416,36.83,37.084,67.31,"June","forest","forest",27.6595744680851,182,"Holston River Park",c(1082002.77456099, 1505548.78487293)
"10","IC",1,22,"165","0",165,0,0,54,56,0,0,0,110,0,"williams_creek",63.9175257731959,30.9278350515464,5.15463917525773,0,0,66.8850072780204,20.4512372634643,10.6986899563319,0.582241630276565,1.38282387190684,22.2222222222222,23.6507936507936,21.4285714285714,18.7301587301587,26.416,36.83,37.084,67.31,"June","forest","forest",66.6666666666667,110,"Ijams Crag Parking",c(1080905.55515198, 1502118.94569032)
