site_id,trap_number,calendar_week,hatched_eggs,embryonating_eggs,total_eggs,albopictus_female,albopictus_male,triseriatus_female,triseriatus_male,japonicus_female,japonicus_male,total_albo,total_tris,total_jap,rainfall_station,percent_forest_250m,percent_open_250m,percent_built_250m,percent_water_250m,percent_crop_250m,percent_forest_1000m,percent_open_1000m,percent_built_1000m,percent_water_1000m,percent_crop_1000m,mean_avg_temp,lagged_avgtemp_1week,lagged_avgtemp_2week,lagged_avgtemp_3week,total_rainfall,lagged_rainfall_1week,lagged_rainfall_2week,lagged_rainfall_3week,calendar_month,domland_250m,domland_1000m,percent_hatch,total_aedes,common_name,
AB,1,22,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,walden_drive,2.325581395,20.93023256,76.74418605,0,0,24.11764706,38.33333333,37.25490196,0,0.294117647,22.22222222,23.65079365,21.42857143,18.73015873,26.162,27.686,34.544,79.248,June,built,open,NA,NA,Ancient Burial Site (Rocky Hill Cemetery), 1495624.68655496)
BC,1,22,257,21,278,1,0,78,70,0,0,1,148,0,walden_drive,0,59,41,0,0,0.087642419,15.24978089,84.04907975,0,0.613496933,22.22222222,23.65079365,21.42857143,18.73015873,26.162,27.686,34.544,79.248,June,open,built,53.5971223,149,Bearden Cemetery, 1496741.90364521)
CC,1,22,111,0,111,0,0,35,15,0,0,0,50,0,williams_creek,21.95121951,19.51219512,58.53658537,0,0,1.10701107,18.72693727,80.16605166,0,0,22.22222222,23.65079365,21.42857143,18.73015873,26.416,36.83,37.084,67.31,June,built,built,45.04504505,50,Calvary Catholic Cemetery, 1504616.15010412)
CP,1,22,326,9,335,18,24,69,57,0,0,42,126,0,tyson_park,81.48148148,0,0,0,18.51851852,80.91603053,10.43256997,4.834605598,0,3.816793893,22.22222222,23.65079365,21.42857143,18.73015873,26.67,39.116,42.672,80.01,June,forest,forest,50.14925373,168,Charter E. Doyle Park, 1498602.50493119)
DH,1,22,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,walden_drive,0,8.695652174,89.13043478,0,0,1.608806097,17.95088908,80.35563082,0,0,22.22222222,23.65079365,21.42857143,18.73015873,26.162,27.686,34.544,79.248,June,built,built,NA,NA,Deane Hill Recreation Center, 1496935.67964537)
FR,1,22,1033,27,1060,0,0,142,164,0,0,0,306,0,williams_creek,82,0,0,16,2,64.6093237,3.939592909,11.09652003,12.60669731,7.747866054,22.22222222,23.65079365,21.42857143,18.73015873,26.416,36.83,37.084,67.31,June,forest,forest,28.86792453,306,Forks of the River Wildlife Management Area Parking, 1501315.62068991)
HG,1,22,2,633,635,11,9,95,83,0,0,20,178,0,tyson_park,97.34513274,1.769911504,0.884955752,0,0,58.22064057,10.88967972,17.15302491,13.52313167,0.213523132,22.22222222,23.65079365,21.42857143,18.73015873,26.67,39.116,42.672,80.01,June,forest,forest,31.18110236,198,High Grounds Park, 1500264.33133114)
HM,1,22,326,7,333,9,8,51,47,0,0,17,98,0,walden_drive,0,48.4375,51.5625,0,0,3.344768439,45.36878216,51.2864494,0,0,22.22222222,23.65079365,21.42857143,18.73015873,26.162,27.686,34.544,79.248,June,built,built,34.53453453,115,Highland Memorial Cemetery, 1499937.08609212)
HR,1,22,583,75,658,17,13,75,77,0,0,30,152,0,williams_creek,53.06122449,3.06122449,0,1.020408163,42.85714286,35.09833585,14.22087746,6.580937973,9.455370651,34.3419062,22.22222222,23.65079365,21.42857143,18.73015873,26.416,36.83,37.084,67.31,June,forest,forest,27.65957447,182,Holston River Park, 1505548.78487293)
IC,1,22,165,0,165,0,0,54,56,0,0,0,110,0,williams_creek,63.91752577,30.92783505,5.154639175,0,0,66.88500728,20.45123726,10.69868996,0.58224163,1.382823872,22.22222222,23.65079365,21.42857143,18.73015873,26.416,36.83,37.084,67.31,June,forest,forest,66.66666667,110,Ijams Crag Parking, 1502118.94569032)
LP,1,22,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,walden_drive,5.769230769,55.76923077,38.46153846,0,0,2.857142857,28.33976834,19.07335907,48.33976834,1.38996139,22.22222222,23.65079365,21.42857143,18.73015873,26.162,27.686,34.544,79.248,June,open,open,NA,NA,Lakeshore Park, 1498024.08277578)
MC,1,22,1431,130,1561,35,42,25,82,0,0,77,107,0,williams_creek,94.33962264,0.943396226,0.943396226,0,3.773584906,93.22709163,1.394422311,3.718459495,0,1.66002656,22.22222222,23.65079365,21.42857143,18.73015873,26.416,36.83,37.084,67.31,June,forest,forest,11.78731582,184,Meridian Cemetery, 1499678.40898073)
MV,1,22,909,5,914,16,24,99,90,0,0,40,189,0,tyson_park,56.81818182,6.818181818,36.36363636,0,0,50,21.4524207,25.04173623,3.338898164,0.166944908,22.22222222,23.65079365,21.42857143,18.73015873,26.67,39.116,42.672,80.01,June,forest,forest,25.0547046,229,Mary Vestal Park, 1500295.65327177)
SP,1,22,568,99,667,35,27,65,64,0,0,62,129,0,love_creek,0,71.42857143,28.57142857,0,0,32.84734134,18.69639794,38.07890223,0,10.37735849,22.22222222,23.65079365,21.42857143,18.73015873,35.306,35.306,35.306,65.278,June,open,built,28.63568216,191,Spring Place Park, 1510216.251542)
SQ,1,22,268,6,274,18,23,53,42,0,0,41,95,0,walden_drive,0,38.67924528,13.20754717,48.11320755,0,23.43447385,21.23950936,13.16978696,42.09167205,0,22.22222222,23.65079365,21.42857143,18.73015873,26.162,27.686,34.544,79.248,June,open,forest,49.6350365,136,Seqoyah Park, 1498705.9364409)
ST,1,22,25,622,647,26,30,115,145,0,0,56,260,0,tyson_park,18.18181818,23.63636364,10.90909091,47.27272727,0,58.18298969,2.384020619,20.36082474,18.94329897,0.128865979,22.22222222,23.65079365,21.42857143,18.73015873,26.67,39.116,42.672,80.01,June,open,forest,48.84080371,316,Scottish River Pike Park, 1501030.66549389)
TY,1,22,NA,NA,NA,0,2,0,0,0,0,NA,NA,NA,tyson_park,0,0,100,0,0,0.23364486,2.258566978,86.13707165,11.29283489,0.07788162,22.22222222,23.65079365,21.42857143,18.73015873,26.67,39.116,42.672,80.01,June,built,built,NA,NA,Tyson Park, 1501853.48003629)
UT,1,22,9,77,86,30,15,0,0,0,0,45,0,0,tyson_park,0,3.571428571,96.42857143,0,0,21.40077821,1.167315175,52.76264591,22.10116732,2.568093385,22.22222222,23.65079365,21.42857143,18.73015873,26.67,39.116,42.672,80.01,June,built,built,52.3255814,45,University of Tennessee Gardens, 1500888.65993141)
WC,1,22,1385,31,1416,1,0,147,117,0,0,1,264,0,williams_creek,0,93.65079365,3.174603175,0,3.174603175,42.04946996,30.91872792,24.64664311,0,2.385159011,22.22222222,23.65079365,21.42857143,18.73015873,26.416,36.83,37.084,67.31,June,open,forest,18.71468927,265,Woodlawn Cemetery, 1500240.31061063)
WT,1,22,268,12,280,1,1,54,68,0,0,2,122,0,williams_creek,98.1981982,0.900900901,0.900900901,0,0,88.59872611,6.878980892,3.439490446,0,1.082802548,22.22222222,23.65079365,21.42857143,18.73015873,26.416,36.83,37.084,67.31,June,forest,forest,44.28571429,124,Williams Hastie Natural Area, 1500497.83772631)
WW,1,22,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,walden_drive,0,85.71428571,14.28571429,0,0,5.009451796,38.94139887,56.04914934,0,0,22.22222222,23.65079365,21.42857143,18.73015873,26.162,27.686,34.544,79.248,June,open,built,100,NA,Westwood Park, 1499426.48965484)
AB,1,23,2,361,363,10,15,73,70,0,0,25,143,0,walden_drive,2.325581395,20.93023256,76.74418605,0,0,24.11764706,38.33333333,37.25490196,0,0.294117647,23.49206349,22.22222222,23.65079365,21.42857143,29.972,26.162,53.848,60.706,June,built,open,46.28099174,168,Ancient Burial Site (Rocky Hill Cemetery), 1495624.68655496)
BC,1,23,47,22,69,30,15,0,0,0,0,45,0,0,walden_drive,0,59,41,0,0,0.087642419,15.24978089,84.04907975,0,0.613496933,23.49206349,22.22222222,23.65079365,21.42857143,29.972,26.162,53.848,60.706,June,open,built,65.2173913,45,Bearden Cemetery, 1496741.90364521)
CC,1,23,0,287,287,50,41,0,0,0,0,91,0,0,williams_creek,21.95121951,19.51219512,58.53658537,0,0,1.10701107,18.72693727,80.16605166,0,0,23.49206349,22.22222222,23.65079365,21.42857143,15.494,26.416,63.246,63.5,June,built,built,31.70731707,91,Calvary Catholic Cemetery, 1504616.15010412)
CP,1,23,273,10,283,6,6,34,35,0,0,12,69,0,tyson_park,81.48148148,0,0,0,18.51851852,80.91603053,10.43256997,4.834605598,0,3.816793893,23.49206349,22.22222222,23.65079365,21.42857143,24.892,26.67,65.786,69.342,June,forest,forest,28.62190813,81,Charter E. Doyle Park, 1498602.50493119)
DH,1,23,9,215,224,41,40,10,6,0,0,81,16,0,walden_drive,0,8.695652174,89.13043478,0,0,1.608806097,17.95088908,80.35563082,0,0,23.49206349,22.22222222,23.65079365,21.42857143,29.972,26.162,53.848,60.706,June,built,built,43.30357143,97,Deane Hill Recreation Center, 1496935.67964537)
FR,1,23,5,1567,1572,0,1,19,14,0,0,1,33,0,williams_creek,82,0,0,16,2,64.6093237,3.939592909,11.09652003,12.60669731,7.747866054,23.49206349,22.22222222,23.65079365,21.42857143,15.494,26.416,63.246,63.5,June,forest,forest,2.162849873,34,Forks of the River Wildlife Management Area Parking, 1501315.62068991)
HG,1,23,4,321,325,39,28,50,25,0,0,67,75,0,tyson_park,97.34513274,1.769911504,0.884955752,0,0,58.22064057,10.88967972,17.15302491,13.52313167,0.213523132,23.49206349,22.22222222,23.65079365,21.42857143,24.892,26.67,65.786,69.342,June,forest,forest,43.69230769,142,High Grounds Park, 1500264.33133114)
HM,1,23,21,132,153,78,68,0,0,0,0,146,0,0,walden_drive,0,48.4375,51.5625,0,0,3.344768439,45.36878216,51.2864494,0,0,23.49206349,22.22222222,23.65079365,21.42857143,29.972,26.162,53.848,60.706,June,built,built,95.4248366,146,Highland Memorial Cemetery, 1499937.08609212)
HR,1,23,16,157,173,0,0,0,0,0,0,0,0,0,williams_creek,53.06122449,3.06122449,0,1.020408163,42.85714286,35.09833585,14.22087746,6.580937973,9.455370651,34.3419062,23.49206349,22.22222222,23.65079365,21.42857143,15.494,26.416,63.246,63.5,June,forest,forest,0,0,Holston River Park, 1505548.78487293)
IC,1,23,3,713,716,1,0,98,81,0,0,1,179,0,williams_creek,63.91752577,30.92783505,5.154639175,0,0,66.88500728,20.45123726,10.69868996,0.58224163,1.382823872,23.49206349,22.22222222,23.65079365,21.42857143,15.494,26.416,63.246,63.5,June,forest,forest,25.1396648,180,Ijams Crag Parking, 1502118.94569032)
LP,1,23,0,147,147,5,0,0,0,0,0,5,0,0,walden_drive,5.769230769,55.76923077,38.46153846,0,0,2.857142857,28.33976834,19.07335907,48.33976834,1.38996139,23.49206349,22.22222222,23.65079365,21.42857143,29.972,26.162,53.848,60.706,June,open,open,3.401360544,5,Lakeshore Park, 1498024.08277578)
MC,1,23,0,1,1,0,0,63,52,0,0,0,115,0,williams_creek,94.33962264,0.943396226,0.943396226,0,3.773584906,93.22709163,1.394422311,3.718459495,0,1.66002656,23.49206349,22.22222222,23.65079365,21.42857143,15.494,26.416,63.246,63.5,June,forest,forest,11500,115,Meridian Cemetery, 1499678.40898073)
MV,1,23,35,65,100,0,0,0,0,0,0,0,0,0,tyson_park,56.81818182,6.818181818,36.36363636,0,0,50,21.4524207,25.04173623,3.338898164,0.166944908,23.49206349,22.22222222,23.65079365,21.42857143,24.892,26.67,65.786,69.342,June,forest,forest,0,0,Mary Vestal Park, 1500295.65327177)
SP,1,23,0,77,77,22,39,1,0,1,0,61,1,1,love_creek,0,71.42857143,28.57142857,0,0,32.84734134,18.69639794,38.07890223,0,10.37735849,23.49206349,22.22222222,23.65079365,21.42857143,14.986,35.306,70.612,70.612,June,open,built,81.81818182,63,Spring Place Park, 1510216.251542)
