Month,Weekday,Day,Date,City Building ,Fountain City,Adair Drive,KAT Station,Love Creek ,Tyson Park,Walden Drive,Williams Creek,NOAA Airport 
June,Wednesday,1,6/1/2022,0,0,0,0,0,0,0,0,0
June,Thursday,2,6/2/2022,0.16,0.14,0.1,0,0.17,0.4,0.73,0.07,0.37
June,Friday,3,6/3/2022,0,0,0,0.04,0,0,0,0,0.01
June,Saturday,4,6/4/2022,0,0,0,0.02,0,0,0,0,0
June,Sunday,5,6/5/2022,0,0,0,0,0,0,0,0,0
June,Monday,6,6/6/2022,0.14,0.25,0.12,0.03,0.08,0.21,0.08,0.11,0.05
June,Tuesday,7,6/7/2022,0.3,0.58,0.42,0.51,0.34,0.37,0.37,0.43,0.48
June,Wednesday,8,6/8/2022,0.01,0.03,0.02,0.02,0.01,0.04,0.09,0.01,0.27
June,Thursday,9,6/9/2022,0,0,0,0,0,0,0,0,0
June,Friday,10,6/10/2022,0,0,0,0,0,0,0,0,0
June,Saturday,11,6/11/2022,0,0,0,0,0,0,0,0,0
June,Sunday,12,6/12/2022,0,0,0,0,0,0,0,0,0
June,Monday,13,6/13/2022,0,0,0,0,0,0,0,0,0
June,Tuesday,14,6/14/2022,0,0,0,0,0,0,0,0,T
June,Wednesday,15,6/15/2022,0,0,0,0,0,0,0,0,T
June,Thursday,16,6/16/2022,0,0,0.03,0,0,0,0,0,0
June,Friday,17,6/17/2022,0.37,0.15,0.26,0.65,0.28,0.27,0,0.31,0.21
June,Saturday,18,6/18/2022,0,0,0,0,0,0,0,0,0
June,Sunday,19,6/19/2022,0,0,0,0,0,0,0,0,0
June,Monday,20,6/20/2022,0,0,0,0,0,0.01,0,0,0
June,Tuesday,21,6/21/2022,0,0,0,0,0,0,0,0,0
June,Wednesday,22,6/22/2022,0,0,0,0,0,0,0,0,0
June,Thursday,23,6/23/2022,0,0,0,0,0,0,0,0,0
June,Friday,24,6/24/2022,0,0,0,0,1.13,0.02,0.01,0.01,0
June,Saturday,25,6/25/2022,0,0,0,0,0,0,0,0,0
