Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit)
5/1/2022,71,78,65
5/2/2022,70,81,59
5/3/2022,71,83,57
5/4/2022,73,81,62
5/5/2022,68,82,55
5/6/2022,69,76,57
5/7/2022,59,63,55
5/8/2022,60,69,54
5/9/2022,63,78,52
5/10/2022,68,82,55
5/11/2022,70,84,57
5/12/2022,72,83,58
5/13/2022,71,82,63
5/14/2022,69,82,60
5/15/2022,72,82,63
5/16/2022,72,81,58
5/17/2022,68,82,54
5/18/2022,70,86,54
5/19/2022,78,89,70
5/20/2022,81,90,72
5/21/2022,79,90,70
5/22/2022,78,86,67
5/23/2022,69,70,61
5/24/2022,67,77,62
5/25/2022,74,86,65
5/26/2022,71,79,66
5/27/2022,68,77,62
5/28/2022,67,77,57
5/29/2022,71,85,58
5/30/2022,75,88,63
5/31/2022,78,89,66
6/1/2022,80,91,68
6/2/2022,77,87,68
6/3/2022,72,81,64
6/4/2022,71,81,61
6/5/2022,73,84,61
6/6/2022,75,86,62
6/7/2022,72,82,67
6/8/2022,76,83,69
6/9/2022,74,82,64
6/10/2022,70,81,56
6/11/2022,72,83,61
6/12/2022,77,88,63
6/13/2022,82,94,73
6/14/2022,86,94,77
6/15/2022,86,96,76
6/16/2022,86,96,75
6/17/2022,82,93,71
6/18/2022,77,86,66
6/19/2022,72,84,58
6/20/2022,72,89,54
6/21/2022,78,94,60
6/22/2022,81,96,65
6/23/2022,85,95,71
6/24/2022,81,94,67
6/25/2022,82,89,73
6/26/2022,80,88,72
6/27/2022,76,87,70
6/28/2022,75,86,64
6/29/2022,80,91,71
6/30/2022,81,92,71
7/1/2022,81,93,69
7/2/2022,80,90,71
7/3/2022,79,90,72
7/4/2022,79,93,72
7/5/2022,85,95,74
7/6/2022,80,95,73
7/7/2022,76,90,71
7/8/2022,78,93,71
7/9/2022,76,86,71
7/10/2022,78,84,72
7/11/2022,76,88,70
7/12/2022,79,89,69
7/13/2022,76,87,68
7/14/2022,78,89,67
7/15/2022,80,90,68
7/16/2022,80,92,69
7/17/2022,82,91,71
7/18/2022,80,91,71
7/19/2022,77,87,71
7/20/2022,81,92,73
7/21/2022,80,85,69
7/22/2022,81,93,73
7/23/2022,83,93,73
7/24/2022,81,90,70
7/25/2022,80,85,75
7/26/2022,80,88,73
7/27/2022,82,90,73
7/28/2022,82,90,72
7/29/2022,76,82,72
7/30/2022,77,87,71
7/31/2022,78,86,73
8/1/2022,74,76,71
8/2/2022,78,89,70
8/3/2022,81,93,70
8/4/2022,77,89,68
8/5/2022,77,89,71
8/6/2022,75,88,70
8/7/2022,76,89,69
8/8/2022,80,90,71
8/9/2022,79,89,71
8/10/2022,74,84,70
8/11/2022,75,83,70
8/12/2022,76,84,68
8/13/2022,73,86,63
8/14/2022,75,87,66
8/15/2022,79,88,72
8/16/2022,75,81,68
8/17/2022,74,85,64
8/18/2022,74,87,63
8/19/2022,76,87,65
8/20/2022,76,87,68
8/21/2022,76,84,70
8/22/2022,76,86,70
8/23/2022,76,88,65
8/24/2022,76,89,63
8/25/2022,78,89,67
8/26/2022,78,89,70
8/27/2022,78,92,69
8/28/2022,79,92,68
8/29/2022,80,92,69
8/30/2022,80,88,71
8/31/2022,78,89,65
9/1/2022,75,90,61
9/2/2022,78,91,66
9/3/2022,76,84,72
9/4/2022,76,81,72
9/5/2022,73,77,71
9/6/2022,76,87,71
9/7/2022,75,84,67
9/8/2022,73,84,64
9/9/2022,73,85,64
9/10/2022,71,76,66
9/11/2022,74,85,67
9/12/2022,71,76,58
9/13/2022,65,79,54
9/14/2022,69,80,58
9/15/2022,69,82,57
9/16/2022,70,83,57
9/17/2022,72,84,61
9/18/2022,72,84,59
9/19/2022,71,85,58
9/20/2022,76,90,66
9/21/2022,76,92,62
9/22/2022,76,84,61
9/23/2022,64,75,50
9/24/2022,63,79,52
9/25/2022,70,80,60
9/26/2022,65,77,54
9/27/2022,60,72,45
9/28/2022,57,68,42
9/29/2022,58,74,46
9/30/2022,60,74,48
10/1/2022,58,60,52
10/2/2022,58,62,54
10/3/2022,60,69,54
10/4/2022,58,73,48
10/5/2022,58,75,42
10/6/2022,60,77,44
10/7/2022,62,79,47
10/8/2022,58,65,44
10/9/2022,51,69,37
10/10/2022,55,71,39
10/11/2022,57,77,41
10/12/2022,64,83,51
10/13/2022,65,75,47
10/14/2022,57,72,42
10/15/2022,64,82,46
10/16/2022,66,75,57
10/17/2022,61,67,43
10/18/2022,42,47,31
10/19/2022,44,57,33
10/20/2022,45,60,31
10/21/2022,49,68,33
10/22/2022,53,73,37
10/23/2022,58,75,42
10/24/2022,58,78,40
10/25/2022,60,78,44
10/26/2022,58,62,51
10/27/2022,55,66,47
10/28/2022,55,73,41
10/29/2022,56,72,42
10/30/2022,58,69,49
10/31/2022,62,67,58
